Policy ID,Policy Name,Policy Type,Risk Factor,Coverage Type,Interest Rate (%),Premium Amount ($),Coverage Amount ($),Duration (Years),Insurer Name,Policy Description
POL-001,Home Insurance - Up,Health Insurance,High,Standard,2.4,956.74,457933.79,30,"Lane, Walker and Jimenez",Network example finish individual offer two.
POL-002,Travel Insurance - Describe,Travel Insurance,Medium,Basic,2.11,217.32,351848.78,14,"Anderson, Jennings and Sanders",Court glass event truth charge once audience tell audience gun help feel.
POL-003,Auto Insurance - Though,Health Insurance,Medium,Comprehensive,3.03,261.36,83396.66,2,"Norton, Gonzalez and Williams",Each reduce school also head community nothing because development.
POL-004,Home Insurance - Of,Auto Insurance,High,Comprehensive,3.43,304.22,127328.7,4,"Clark, Patton and Smith",Expect relationship sometimes then day growth.
POL-005,Travel Insurance - Involve,Health Insurance,Medium,Comprehensive,4.7,866.2,154536.73,20,Flores-Aguirre,Wife participant avoid cell seat ahead pressure month four woman.
POL-006,Home Insurance - Action,Health Insurance,High,Basic,1.29,219.81,425761.21,19,"Lopez, Walker and Wilson",Somebody front take team blue program back soldier instead card natural.
POL-007,Auto Insurance - Agree,Home Insurance,High,Standard,2.34,645.8,325047.58,19,Woods Group,Case possible save card southern war law.
POL-008,Health Insurance - Artist,Home Insurance,Medium,Basic,4.51,360.88,351357.18,16,Paul-Frazier,Test outside fish five Congress guy life walk like factor on.
POL-009,Health Insurance - Lead,Life Insurance,Low,Standard,3.03,342.76,10519.54,18,Lam-Stephenson,Last somebody culture up accept political peace increase office mouth interest boy conference.
POL-010,Home Insurance - Wall,Life Insurance,Low,Basic,1.3,472.76,323133.11,7,Davis-Mcclain,Until strategy send third TV network.
POL-011,Health Insurance - Garden,Auto Insurance,Low,Comprehensive,4.75,257.19,62749.83,20,"Mendez, Miller and Johnson",Suggest determine law performance newspaper thousand news thousand process of stand you single.
POL-012,Life Insurance - Child,Home Insurance,High,Basic,3.02,114.47,71829.87,9,Scott PLC,News sport safe step itself indeed natural more best who nice.
POL-013,Home Insurance - Here,Home Insurance,Medium,Basic,4.63,615.97,203069.4,22,Yang and Sons,Material our check go pick should easy brother TV attorney.
POL-014,Health Insurance - Some,Home Insurance,Medium,Comprehensive,2.82,633.46,166740.3,15,Manning-Sullivan,Its material debate class push vote same data letter rule star.
POL-015,Auto Insurance - On,Home Insurance,High,Basic,3.5,891.38,152831.6,15,Harrell-Brown,Already whatever sort thousand sing company sort evening kid five.
POL-016,Auto Insurance - With,Auto Insurance,High,Basic,4.51,758.83,345953.92,27,Brooks and Sons,Up care hundred toward which season glass.
POL-017,Life Insurance - Even,Auto Insurance,Low,Standard,3.09,479.69,126900.55,25,Friedman LLC,Purpose kid quickly send only common worker he film into kitchen mention attention.
POL-018,Travel Insurance - Guy,Health Insurance,Medium,Basic,3.76,909.96,286140.1,14,Oneill PLC,Answer keep ask who purpose sell table southern.
POL-019,Home Insurance - Reality,Travel Insurance,Medium,Basic,1.3,942.23,159460.4,15,"Cruz, Patel and Ramos",Speech point amount world account prove everything really.
POL-020,Life Insurance - Century,Auto Insurance,Medium,Standard,2.01,978.46,98864.48,22,Schaefer and Sons,Attack seem owner throughout gas fund common sea game author when cell method.
POL-021,Auto Insurance - Time,Auto Insurance,Low,Standard,2.06,843.99,463817.41,16,Chandler-Ortiz,Health here art book leg represent management thus act various high.
POL-022,Travel Insurance - Old,Health Insurance,Medium,Basic,3.61,452.84,17057.55,7,Robertson-Fuller,Window drive seven benefit performance or.
POL-023,Auto Insurance - My,Travel Insurance,Low,Comprehensive,4.31,894.83,31410.36,30,Clark Inc,General current network campaign culture could apply capital budget help late.
POL-024,Life Insurance - Discuss,Travel Insurance,High,Comprehensive,2.56,408.2,476293.68,3,Rodriguez-Hamilton,Rather significant partner cost reveal look last serve newspaper.
POL-025,Health Insurance - Game,Health Insurance,Low,Comprehensive,3.76,602.16,418325.02,25,Bishop PLC,Various office development like continue buy agree safe his west ask above.
POL-026,Life Insurance - Wait,Auto Insurance,Medium,Basic,4.5,826.5,477859.74,29,Turner-Garcia,Least power low exactly discuss provide significant.
